Best Position,Nationality,Age,Height(in cm),Weight(in kg),Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4,DistancesToClusterCenter no.5,DistancesToClusterCenter no.6,DistancesToClusterCenter no.7,DistancesToClusterCenter no.8,DistancesToClusterCenter no.9,DistancesToClusterCenter no.10,DistancesToClusterCenter no.11,DistancesToClusterCenter no.12,DistancesToClusterCenter no.13
ST,Argentina,35,187,81,Right,3,3,1,High,Medium,49,74,59,68,41,80,51,74,78,66,73,65,57,51,46,75,53,46,61,79,53,80,75,74,87,70,71,35,79,68,63,70,44,35,24,11,9,14,13,6,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Germany,21,175,67,Right,3,3,1,Medium,Medium,67,45,63,65,60,45,49,39,48,73,38,64,46,49,67,67,68,66,68,65,78,58,55,54,33,46,60,60,53,62,50,52,65,58,63,9,12,7,14,5,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Togo,26,185,73,Right,4,3,1,Medium,Medium,78,66,58,67,26,64,65,65,54,60,54,67,51,52,59,68,75,80,74,56,66,76,69,63,71,66,48,28,67,52,53,64,19,24,20,11,14,15,16,9,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,Saudi Arabia,22,179,69,Left,2,2,1,Medium,Medium,69,47,49,53,36,46,50,48,30,50,39,54,46,44,48,51,68,70,53,49,71,45,48,49,49,49,35,37,47,48,45,48,35,39,32,8,10,14,8,14,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,France,22,181,76,Right,3,2,1,Medium,Medium,75,42,60,69,64,61,66,33,58,68,31,71,58,41,51,69,75,75,71,63,74,58,62,66,59,47,57,61,52,50,48,53,62,69,68,11,13,15,8,8,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Switzerland,22,192,84,Right,3,1,1,Medium,Medium,66,63,59,65,25,59,12,6,14,26,5,5,11,13,26,15,23,29,32,51,24,44,30,21,56,6,17,8,8,38,10,30,5,13,14,66,63,59,59,65,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Argentina,22,186,76,Right,2,1,1,Medium,Medium,59,57,60,62,22,58,15,8,15,19,8,13,13,15,20,20,16,30,24,56,40,45,44,21,45,10,26,7,9,40,18,37,10,10,12,59,57,60,58,62,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Australia,21,183,75,Right,2,2,1,Medium,Medium,53,23,33,39,55,58,28,21,49,38,28,34,23,21,35,40,54,53,39,48,60,32,76,54,63,16,45,52,24,31,36,46,52,61,58,14,8,8,7,5,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Brazil,25,192,88,Right,3,1,1,Medium,Medium,73,70,76,75,39,71,16,10,15,41,12,17,17,13,38,29,39,39,39,64,47,57,63,41,72,9,23,21,10,51,12,50,20,15,16,73,70,76,71,75,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Romania,19,181,71,Left,4,2,1,Medium,Medium,72,60,56,63,27,54,55,59,38,58,54,64,60,45,52,62,76,69,75,56,72,63,59,62,59,60,32,31,52,57,61,43,28,22,21,14,11,9,5,13,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Spain,26,179,72,Left,2,3,1,Medium,Medium,62,38,65,68,78,67,77,28,74,76,34,64,60,62,65,75,65,59,64,72,65,51,59,64,69,43,70,77,54,37,40,64,79,78,79,13,8,10,11,10,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Chile,19,185,82,Right,3,1,1,Medium,Medium,52,53,55,55,22,53,14,6,13,17,6,12,13,14,20,18,21,24,32,50,45,41,58,26,45,7,28,6,8,37,14,21,7,14,11,52,53,55,53,55,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,England,20,178,65,Right,4,2,1,Medium,High,74,60,63,67,63,73,53,58,55,68,53,67,53,51,65,68,74,74,72,60,69,60,64,81,72,65,67,64,63,67,57,62,65,65,59,8,15,10,9,6,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Albania,21,180,63,Right,3,3,1,High,Medium,70,60,60,72,54,65,56,66,52,63,36,73,42,50,59,71,71,70,76,58,78,53,55,69,64,59,63,56,64,68,59,65,52,56,51,10,13,9,10,11,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Northern Ireland,23,182,73,Right,3,2,1,High,Medium,78,68,50,68,24,62,45,71,61,59,63,67,54,40,42,64,79,77,80,68,76,69,66,72,58,63,58,16,68,49,67,59,19,19,30,13,12,12,13,8,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LWB,Sweden,27,178,74,Left,3,2,1,Medium,Medium,70,33,60,61,57,69,60,31,40,61,37,59,62,58,59,61,73,68,71,54,70,35,59,73,65,33,76,57,43,58,34,62,60,60,55,8,7,7,8,7,11,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
ST,Austria,33,192,83,Right,4,4,3,Medium,Low,78,82,79,79,44,82,77,81,79,81,79,77,79,72,74,84,76,79,70,79,77,84,77,77,87,82,77,38,79,81,79,79,40,42,39,14,15,10,10,15,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,Senegal,23,183,79,Right,3,3,1,Medium,Medium,75,59,65,67,64,71,57,57,63,72,49,65,55,60,67,70,74,76,69,68,71,67,73,69,73,59,70,68,64,63,57,66,64,64,61,13,6,12,6,6,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,Germany,23,186,81,Right,3,3,1,High,Medium,81,54,56,65,24,64,60,52,32,60,56,65,62,44,46,64,82,80,75,58,70,62,70,78,69,52,32,14,52,55,50,52,25,27,26,12,11,8,13,15,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Liberia,25,182,74,Right,2,2,1,High,High,89,60,51,65,37,69,45,63,60,57,54,63,49,35,50,63,88,90,77,61,73,61,82,79,68,57,55,17,60,54,52,60,38,42,40,8,12,9,14,13,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Mali,22,184,80,Right,2,2,1,Medium,Medium,75,54,40,55,21,51,32,57,54,43,42,57,35,28,32,52,75,75,59,53,59,54,61,55,57,49,30,19,55,51,64,50,19,15,12,15,7,11,7,10,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,Qatar,31,183,76,Left,5,3,1,High,Medium,61,68,71,68,62,69,70,64,62,74,60,66,68,53,72,71,59,63,68,73,65,74,70,74,71,77,58,64,67,69,44,71,58,65,58,15,10,13,10,8,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Germany,20,179,71,Right,3,2,1,Medium,Medium,77,63,57,70,26,50,51,68,54,60,58,68,54,42,54,70,78,77,81,63,80,63,61,62,38,58,61,25,60,62,49,65,29,19,16,10,14,9,14,9,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LW,Korea Republic,28,174,72,Left,2,3,1,Medium,Low,82,65,59,64,36,58,61,70,45,62,47,63,58,46,57,61,83,82,71,69,74,67,74,46,61,59,62,39,70,55,53,61,29,36,38,14,10,8,12,8,13,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
CM,Belgium,31,173,71,Right,4,3,1,High,High,70,60,71,71,66,70,69,51,54,73,67,69,66,67,69,72,72,68,76,69,77,70,76,79,65,66,70,68,69,72,60,70,66,69,67,7,8,9,9,8,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,Switzerland,23,184,80,Right,2,2,1,Medium,High,90,38,50,60,58,71,50,28,58,55,35,59,41,36,54,56,91,90,83,53,59,53,87,71,70,41,70,57,57,46,40,52,58,60,56,8,9,7,9,7,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,Ecuador,25,188,85,Right,3,2,1,Medium,Medium,68,58,63,66,64,73,46,58,56,70,30,66,43,52,65,69,65,70,60,64,72,65,72,70,80,55,60,68,70,73,60,65,67,64,56,6,6,14,14,13,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,China PR,30,178,70,Right,4,3,1,Medium,High,73,57,61,62,60,69,51,54,55,63,42,60,62,56,66,58,75,71,76,58,77,58,54,86,62,66,67,62,55,63,56,60,58,64,57,16,14,6,12,13,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Spain,20,176,73,Right,3,3,1,Medium,Medium,67,56,63,67,54,53,50,55,48,72,51,69,54,58,71,67,66,67,68,47,70,64,60,55,53,50,47,43,53,58,61,67,48,68,58,6,7,13,7,6,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,Spain,32,179,70,Right,3,3,1,High,Medium,71,60,55,61,32,62,58,58,57,58,57,62,68,56,44,60,71,71,70,55,68,65,90,62,62,61,54,31,58,51,53,45,18,37,33,14,10,15,11,10,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Argentina,34,183,75,Right,4,4,2,Medium,Medium,75,76,75,83,47,69,72,75,74,73,74,84,82,67,74,83,80,71,80,80,81,78,73,60,71,78,76,45,80,82,68,85,45,43,37,9,16,11,13,8,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,India,24,170,68,Left,3,3,1,High,Medium,73,47,53,60,33,55,49,50,40,57,35,58,43,49,54,56,72,73,79,48,83,44,48,66,53,46,46,37,53,52,46,45,30,32,31,8,7,9,14,13,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Poland,22,178,71,Right,3,3,1,Medium,Medium,74,55,55,65,38,62,43,57,47,63,52,64,45,40,56,65,73,75,74,61,70,59,70,63,62,47,61,25,58,60,45,55,38,40,46,15,12,9,10,6,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,Côte d'Ivoire,27,174,68,Right,3,2,1,High,Medium,84,55,60,62,59,74,63,48,58,65,56,60,53,62,61,59,85,84,76,56,71,67,56,83,73,62,70,55,48,48,51,62,58,62,65,8,11,9,7,12,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Brazil,30,186,80,Right,2,2,1,Medium,Medium,59,49,48,45,68,77,39,43,69,49,45,32,42,43,71,55,63,55,62,53,56,62,70,74,76,52,84,71,32,42,58,51,67,71,55,13,17,11,19,13,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Poland,18,190,74,Right,3,2,1,Medium,Medium,60,35,44,53,51,62,32,31,49,55,34,54,41,45,43,51,58,62,53,53,55,47,61,57,67,29,57,54,35,38,42,46,48,52,52,7,15,10,12,6,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Republic of Ireland,20,183,78,Right,3,2,1,Medium,Medium,62,56,61,63,60,61,52,54,54,68,47,65,52,53,64,63,62,62,59,63,62,61,62,62,58,58,65,59,59,62,56,58,60,63,59,7,11,14,13,14,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,Spain,30,174,69,Right,3,2,1,High,Medium,66,37,68,65,75,75,78,32,76,78,23,60,62,41,65,72,67,65,63,71,70,48,81,77,70,40,82,73,46,50,32,67,72,78,75,7,15,14,11,11,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Croatia,31,186,82,Right,3,3,1,High,Medium,69,71,66,68,52,76,56,71,74,70,68,70,69,61,65,72,70,69,57,67,47,74,72,74,81,69,69,46,73,71,70,70,42,58,54,11,14,11,9,11,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,France,28,185,82,Right,3,2,1,Medium,Medium,44,29,45,49,73,81,27,22,74,65,33,40,28,25,55,61,45,43,41,66,53,41,86,80,85,27,72,71,29,29,39,55,75,73,71,14,6,15,15,14,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Korea Republic,21,190,79,Right,3,2,1,Medium,Medium,55,55,43,58,31,57,34,61,66,53,45,58,39,29,29,63,55,55,54,53,48,51,66,53,64,47,42,25,58,48,56,45,26,30,25,5,6,7,10,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,England,32,189,88,Right,2,1,1,Medium,Medium,72,69,68,71,59,71,14,11,17,30,13,14,11,11,28,23,59,59,33,68,44,51,80,39,66,13,37,24,17,44,21,58,15,12,17,72,69,68,71,71,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,India,20,185,78,Right,3,1,1,Medium,Medium,52,49,47,50,24,48,10,9,11,21,7,10,13,13,17,10,20,31,33,36,45,35,61,19,50,5,23,6,6,26,11,36,5,13,14,52,49,47,48,50,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,Sweden,19,179,72,Right,3,2,1,Medium,Medium,67,37,46,52,50,57,49,38,45,51,30,50,38,36,45,51,68,66,62,48,61,40,51,64,58,30,46,50,42,40,38,41,49,53,52,8,7,6,5,9,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Denmark,38,190,85,Right,2,1,1,Medium,Medium,63,64,67,66,32,67,16,16,14,48,18,22,18,18,48,40,30,35,32,53,39,50,48,32,72,16,27,22,15,59,30,45,24,17,12,63,64,67,67,66,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,Poland,19,173,70,Right,3,2,1,Medium,Medium,68,47,57,58,46,57,53,44,47,62,39,54,49,42,58,58,68,68,74,54,79,57,63,68,48,43,63,49,53,57,45,48,41,50,43,11,11,12,6,6,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,Belgium,24,187,77,Left,3,4,2,Medium,Low,83,72,66,78,31,59,66,71,55,68,66,80,68,65,60,77,82,83,77,74,71,81,68,64,68,70,28,26,68,67,69,72,31,29,24,9,7,14,11,12,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Netherlands,28,188,87,Left,3,1,1,Medium,Medium,68,65,70,68,42,65,20,12,12,25,18,13,12,14,45,27,41,43,35,62,46,53,61,33,60,13,23,26,18,61,27,48,10,12,16,68,65,70,65,68,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Belgium,23,185,78,Left,2,2,1,Medium,Medium,71,33,61,62,72,70,58,31,70,73,28,55,38,27,68,67,68,73,65,69,67,45,76,64,73,26,69,73,36,51,33,69,69,75,71,10,11,7,8,8,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Senegal,27,188,85,Left,3,2,1,Medium,Medium,57,70,47,61,32,78,38,71,77,56,65,62,40,44,35,63,55,59,60,65,42,74,82,71,89,62,58,26,73,53,75,51,30,26,23,14,7,14,13,11,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Portugal,27,196,100,Right,3,2,1,High,Medium,68,39,45,51,66,85,35,38,64,55,29,51,40,29,44,49,70,66,49,63,34,56,50,84,93,27,73,66,39,42,38,65,67,67,66,8,14,14,9,16,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,Chile,19,172,67,Left,2,2,1,Medium,Medium,68,49,60,62,60,64,53,48,48,69,32,63,34,29,65,61,67,69,66,58,70,56,66,71,63,47,58,58,63,63,45,56,58,64,66,9,10,8,14,13,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Estonia,25,185,79,Right,5,2,1,High,Low,53,57,47,54,27,52,38,59,58,49,45,53,44,43,45,57,52,53,50,55,58,56,61,54,56,58,38,13,58,56,50,57,36,19,21,6,10,9,13,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Uruguay,23,190,76,Right,3,2,1,Medium,High,50,31,46,50,69,75,30,20,69,62,20,40,30,35,55,60,51,49,45,64,50,56,73,74,77,30,70,67,30,35,40,67,70,70,68,5,8,9,13,10,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,Italy,28,174,67,Right,3,3,2,High,Low,92,62,76,82,70,65,83,67,44,78,59,82,68,58,75,81,93,91,89,78,89,53,39,86,56,57,66,73,74,74,55,76,72,75,69,14,6,11,5,11,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Poland,26,196,87,Right,2,1,1,Medium,Medium,62,64,55,62,45,63,15,19,15,25,11,16,16,15,19,18,47,41,35,55,32,41,44,39,56,14,25,23,12,37,22,54,21,17,13,62,64,55,63,62,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Senegal,23,186,80,Right,2,3,1,High,Medium,70,62,55,63,29,69,56,61,69,59,54,65,50,41,47,63,68,72,61,59,52,69,72,63,77,60,57,32,62,57,61,56,25,21,23,13,14,9,14,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
